CID,race,gender,birthord,magebirth,medu,bthwht,breastfed,math,read,hhnum
76402,1,1,2,22,14,0,0,93,115,6
76403,1,1,3,23,14,0,0,115,113,6
76404,1,1,4,25,14,0,0,116,118,6
76405,1,1,5,27,14,0,0,109,118,6
76802,3,1,2,25,12,0,1,107,99,5
76803,3,0,3,27,12,0,1,89,110,5
77501,3,0,1,26,16,0,1,99,125,5
77502,3,1,3,28,16,1,0,106,103,5
77503,3,1,2,28,16,0,0,114,114,5
77901,3,0,1,24,14,0,1,110,111,2
79001,3,1,1,27,12,0,0,101,97,2
79202,3,1,2,24,16,0,1,111,135,6
79203,3,1,3,28,16,0,1,112,95,6
80102,3,0,2,24,12,0,0,111,107,4
80103,3,1,3,28,12,0,0,92,100,4
80303,3,0,3,27,12,0,1,107,109,6
80401,3,1,1,21,12,0,1,108,100,5
80402,3,0,2,23,12,0,1,120,99,5
81001,3,0,1,28,16,0,0,122,108,3
81402,3,1,2,27,12,0,0,104,128,5
82801,3,0,1,28,14,0,1,102,116,4
82802,3,1,2,30,14,0,1,106,102,4
82901,3,0,1,31,18,0,1,94,131,4
83101,2,0,1,21,12,0,0,94,103,4
83102,2,0,2,24,12,1,0,94,97,4
83103,2,0,3,29,12,1,0,101,101,4
83402,2,0,2,28,12,0,0,100,90,4
83502,2,0,2,22,13,0,0,95,92,3
83602,1,1,2,27,8,0,0,114,112,5
83603,1,1,3,30,8,1,0,98,102,5
84102,3,0,2,27,12,0,1,65,77,4
85401,3,1,1,23,12,0,0,96,105,4
85402,3,1,2,27,12,0,0,100,96,4
85403,3,1,3,29,12,0,0,89,101,4
85602,3,1,2,24,13,0,1,105,95,4
87501,3,1,1,33,12,0,1,101,99,3
88002,3,1,2,27,17,0,1,104,113,5
88003,3,0,3,29,17,0,1,106,116,5
88701,3,1,1,26,17,0,0,119,113,4
88702,3,1,2,29,17,0,0,85,77,4
88902,3,1,2,25,14,0,1,94,115,4
89301,3,1,1,25,12,0,1,114,98,5
89302,3,1,2,27,12,0,1,109,107,5
89303,3,1,3,31,12,0,1,95,95,5
89501,3,0,1,30,16,1,1,101,110,4
89601,3,1,1,26,16,0,1,128,123,4
89801,3,0,1,25,16,0,1,105,113,5
89802,3,1,2,27,16,0,1,107,117,5
90001,3,1,1,26,15,0,1,107,106,6
90002,3,0,2,28,15,0,1,117,116,6
91201,3,0,1,26,16,0,1,114,112,4
91202,3,1,2,29,16,0,1,131,115,4
91401,1,0,1,30,12,0,1,101,98,4
91801,3,0,1,24,12,0,0,109,86,4
92302,3,1,2,26,12,0,1,105,98,5
92303,3,0,3,27,12,0,1,113,106,5
93203,3,1,3,29,12,0,0,91,109,5
93501,3,0,1,26,12,0,1,121,135,5
93502,3,0,2,27,12,0,1,115,131,5
93503,3,1,3,30,12,0,1,100,116,5
93601,3,1,1,25,14,0,0,111,120,5
93602,3,1,2,28,14,0,0,108,105,5
93603,3,1,3,31,14,0,0,112,119,5
94002,3,1,2,24,12,0,1,116,125,5
94201,3,1,1,27,12,0,1,120,108,4
94202,3,0,2,30,12,0,1,93,98,4
94902,3,1,2,21,12,0,0,89,92,4
96202,3,1,2,23,14,0,1,65,65,4
96203,3,1,3,25,14,0,1,104,92,4
96701,3,1,1,28,12,0,1,113,92,4
97401,3,1,1,28,18,0,1,100,99,4
97402,3,1,2,30,18,0,1,107,109,4
97902,3,1,2,25,12,0,1,89,92,4
98101,3,1,1,26,12,0,0,126,94,4
98102,3,0,2,29,12,0,0,116,93,4
99802,3,0,2,29,12,0,1,92,110,7
99803,3,1,3,31,12,0,0,113,122,7
99901,3,1,1,21,17,0,1,94,113,4
100504,3,0,4,28,10,0,0,105,106,4
100505,3,0,5,29,10,0,0,90,109,4
101501,3,0,1,21,18,0,1,128,126,6
101502,3,1,2,24,18,0,1,107,99,6
101503,3,0,3,28,18,0,1,114,123,6
101701,3,0,1,27,16,0,1,106,102,4
101702,3,1,2,30,16,0,1,105,117,4
102401,3,0,1,28,16,0,1,104,102,3
103003,2,0,3,28,10,0,0,97,87,5
103301,2,1,1,21,10,0,0,107,65,3
103302,2,1,2,25,10,0,0,88,89,3
103501,3,0,1,20,11,0,1,83,106,3
103801,3,1,1,26,14,0,1,91,88,4
103901,3,1,1,28,15,0,1,105,100,2
105603,3,0,3,32,12,0,1,78,91,5
106501,3,1,1,26,12,0,1,98,98,5
106502,3,1,2,29,12,0,1,105,104,5
106503,3,0,3,32,12,0,1,100,93,5
106902,3,1,2,27,10,0,0,117,85,3
107102,2,1,2,21,12,0,1,96,79,6
107103,2,0,3,23,12,0,0,90,100,6
107703,3,1,3,29,9,0,0,117,112,3
108001,3,1,1,23,12,0,1,120,112,5
108002,3,1,2,26,12,0,0,125,117,5
108201,3,1,1,28,16,0,1,96,109,4
110301,3,0,1,35,16,0,1,116,125,3
110401,3,0,1,32,15,0,1,106,119,3
111201,3,1,1,20,12,0,0,89,107,8
111202,3,0,2,21,12,0,0,74,89,8
112304,1,1,4,28,15,0,1,114,135,7
112305,1,1,5,32,15,0,1,107,128,7
113001,1,0,1,30,12,1,1,104,135,4
113101,1,0,1,28,12,0,1,97,107,3
113201,1,1,1,22,12,0,1,102,135,4
113202,1,0,2,26,12,0,0,107,118,4
114101,3,0,1,25,12,0,0,89,95,3
114102,3,0,2,26,12,0,0,111,98,3
115801,2,0,1,25,14,0,0,97,85,4
115901,2,1,1,27,5,0,0,98,128,2
116002,2,0,2,24,14,0,0,65,103,5
116302,3,1,2,27,14,0,0,99,93,3
116402,3,1,2,28,5,0,0,97,103,4
116601,2,0,1,22,13,0,0,89,101,4
116602,2,0,2,28,13,0,0,94,79,4
117202,3,1,2,24,12,0,1,86,94,5
117203,3,1,3,27,12,0,1,106,96,5
117701,3,1,1,27,16,0,0,128,125,4
117901,3,1,1,22,12,0,0,113,81,4
117902,3,1,2,25,12,0,0,107,93,4
118102,3,1,2,31,13,0,0,119,120,5
118401,3,0,1,28,16,0,1,135,125,4
118402,3,0,2,30,16,0,1,128,123,4
118701,3,1,1,27,18,0,1,131,131,5
118702,3,0,2,30,18,0,1,113,109,5
118703,3,0,3,32,18,0,1,101,65,5
119902,3,1,2,30,9,0,1,65,65,4
120702,2,0,2,25,13,0,0,99,126,4
120903,2,0,3,29,14,0,0,114,97,3
121005,2,1,6,28,8,1,0,74,69,9
121006,2,1,5,28,8,1,0,82,74,9
121604,2,0,4,27,11,0,0,97,118,5
122001,2,0,1,20,12,0,0,86,95,5
122103,2,1,3,29,12,0,0,90,72,5
122301,2,0,1,27,13,1,0,89,106,5
122403,2,0,3,28,13,0,0,102,84,5
122704,2,1,4,28,11,0,1,95,110,2
123302,3,1,2,25,14,0,1,108,99,4
123804,3,0,4,26,12,0,0,106,105,6
124104,3,0,4,28,9,1,0,93,91,2
124201,3,0,1,27,11,0,0,93,118,3
124402,3,0,2,21,9,0,1,88,90,5
124601,3,0,1,21,12,0,1,131,103,3
125002,3,0,2,28,12,0,1,95,126,5
125801,3,0,1,23,14,0,1,117,116,6
125802,3,0,2,25,14,0,1,108,113,6
125803,3,0,3,26,14,0,1,128,125,6
125804,3,1,4,28,14,0,0,118,116,6
126101,3,0,1,31,14,0,1,109,111,3
126301,3,1,1,24,12,0,0,90,82,3
127701,3,1,1,26,17,0,1,112,117,3
127902,3,1,2,27,15,0,1,121,114,5
127903,3,1,3,29,15,0,1,110,106,5
128601,2,1,1,27,16,0,0,92,91,3
129002,2,0,2,26,14,0,0,100,102,2
129303,2,1,3,24,14,0,1,93,102,5
129501,2,1,1,23,9,0,0,80,100,4
129502,2,1,2,25,9,0,1,89,88,4
129503,2,1,3,27,9,0,0,91,65,4
129601,3,0,1,23,12,0,0,97,95,4
129602,3,1,2,26,12,0,0,102,89,4
129703,2,1,3,27,11,0,1,86,79,4
130401,3,1,1,22,15,0,1,117,121,4
130402,3,0,2,27,15,0,1,109,110,4
130403,3,1,3,28,15,0,1,106,135,4
130501,3,1,1,29,15,0,1,118,111,4
130603,3,1,3,26,8,0,0,108,112,4
132301,3,1,1,30,17,0,1,107,113,4
132401,3,0,1,23,15,0,1,119,117,6
132402,3,0,2,25,15,0,1,77,104,6
132403,3,1,3,27,15,0,1,111,105,6
132701,3,0,1,25,12,0,0,112,120,4
134103,3,1,3,28,12,0,0,104,94,4
134302,3,1,2,23,13,0,0,65,69,3
135203,3,1,3,26,12,0,1,84,103,5
135601,3,0,1,28,16,0,1,95,103,4
135901,3,0,1,29,18,0,1,135,126,5
135902,3,0,2,35,18,0,0,86,106,5
136001,3,0,1,31,12,0,0,83,94,4
137001,3,1,1,26,12,1,0,118,97,4
137501,2,0,1,29,14,0,0,96,102,3
137603,2,1,3,27,15,0,0,97,101,3
137702,2,1,2,25,13,0,0,101,110,3
137801,2,0,1,28,15,0,0,84,108,3
138102,2,0,2,21,12,1,0,75,72,4
138103,2,0,3,25,12,1,0,75,77,4
138501,2,1,1,26,13,0,0,118,110,3
138901,2,0,1,24,20,0,0,104,135,4
138902,2,1,2,25,20,0,0,103,135,4
139802,3,0,2,26,16,0,1,120,125,3
139901,1,0,1,25,14,0,0,108,103,4
139902,1,0,2,29,14,0,0,123,109,4
140201,1,1,1,28,17,0,1,131,115,3
140606,1,0,6,24,13,0,1,121,116,4
140902,3,1,2,21,12,0,0,98,84,4
141002,3,0,2,29,12,0,0,79,87,3
141405,1,1,5,24,8,1,1,111,86,5
141506,1,1,6,24,12,0,0,80,65,5
142305,3,1,5,29,12,0,1,99,114,7
143501,2,0,1,25,12,0,1,120,135,4
143503,2,1,3,29,12,0,1,97,103,4
143602,2,0,2,24,10,0,0,72,79,4
143603,2,1,3,25,10,0,0,88,87,4
143802,2,0,2,22,11,0,0,93,81,3
143803,2,1,3,26,11,0,0,89,72,3
143901,2,1,1,29,14,0,0,88,99,2
144003,2,0,3,21,13,0,0,88,98,6
144004,2,1,4,22,13,0,0,103,98,6
144201,1,0,1,22,12,0,0,98,87,4
144302,3,0,2,22,12,0,1,114,115,4
144602,2,1,2,25,12,0,0,91,101,5
145103,1,0,3,28,8,0,1,93,95,5
145402,1,0,2,20,12,0,0,95,102,5
146501,3,1,1,20,8,1,1,102,98,3
147402,3,0,2,26,14,0,0,112,114,4
149302,3,1,2,23,12,0,1,99,102,4
149801,3,1,1,26,12,0,0,118,131,3
149902,3,1,2,29,12,0,0,100,116,4
150201,3,1,1,26,16,0,1,114,115,5
151201,3,1,1,28,15,0,1,106,122,4
151202,3,1,2,31,15,0,0,103,135,4
151702,2,0,2,27,12,0,0,75,84,4
151703,2,0,3,28,12,0,0,75,99,4
152201,2,0,1,30,16,0,0,109,115,3
153202,3,1,2,26,11,0,0,93,96,5
153302,1,1,2,26,12,0,0,107,106,4
153402,1,1,2,26,12,0,1,107,108,4
153902,3,1,2,27,12,0,1,118,91,4
154102,3,1,2,24,12,0,1,65,92,4
154603,3,0,3,25,12,0,1,95,101,4
154902,3,0,2,23,12,0,0,97,103,6
154903,3,1,3,26,12,0,1,105,69,6
154904,3,1,4,28,12,0,0,90,88,6
155301,3,0,1,28,12,1,0,118,110,3
156604,3,0,4,24,10,0,1,120,118,7
156605,3,0,5,27,10,0,1,126,112,7
157102,3,0,2,26,15,0,0,87,86,3
157901,3,0,1,30,12,0,1,114,135,3
158401,3,0,1,20,16,1,0,97,122,5
158402,3,1,2,23,16,0,1,119,118,5
158701,3,1,1,25,16,0,1,114,131,4
158702,3,0,2,29,16,0,1,117,135,4
159201,3,0,1,20,10,0,1,116,121,5
159301,3,0,1,25,12,0,1,106,100,3
